Ticker,samples,accuracy
CRWD,2152,0.44284386617100374
GM,78,0.4358974358974359
ZS,1295,0.41081081081081083
OKTA,1309,0.4102368220015279
SWKS,1538,0.40897269180754225
MU,6002,0.3915361546151283
BA,3652,0.3847207009857612
ON,1231,0.3736799350121852
NIO,4001,0.37215696075981003
TEAM,845,0.3633136094674556
AMD,8155,0.3572041692213366
AAOI,1186,0.35497470489038785
AMAT,3931,0.3411345713558891
DELL,1584,0.33775252525252525
BB,1135,0.3312775330396476
SMCI,133,0.3308270676691729
NVDA,9884,0.325273168757588
GE,7505,0.32258494337108595
NOK,3285,0.3223744292237443
NOW,1776,0.32150900900900903
INTC,8024,0.30321535393818544
AMZN,3835,0.3029986962190352
TSLA,6606,0.2974568574023615
HPQ,3885,0.2893178893178893
MSFT,6069,0.28241884989289834
AAPL,6462,0.28102754565150107
PANW,4162,0.2789524267179241
CRM,6911,0.27839675879033426
CAT,6699,0.2779519331243469
ADBE,5836,0.26559287183002056
HPE,1494,0.2637215528781794
QCOM,7694,0.25864309851832595
F,1362,0.24302496328928047
ADI,3206,0.23611977542108548
TSM,4606,0.23382544507164568
ERIC,2495,0.22725450901803607
MRVL,3007,0.22381110741602928
DE,3446,0.21648287869994196
GOOG,9637,0.21075023347514787
ASML,2220,0.20765765765765765
MMM,3731,0.20637898686679174
ORCL,7115,0.1994378074490513
EMR,2278,0.19622475856014046
ROK,1650,0.18727272727272729
NTAP,2978,0.18233713901947615
TXN,4026,0.1815697963238947
TM,5422,0.15916635927701955
CSCO,1055,0.13933649289099526
GOOGL,1350,0.11703703703703704
KLAC,1128,0.07890070921985816
LRCX,657,0.0715372907153729
AVGO,2102,0.06898192197906755
LOGI,683,0.06881405563689605
GD,1233,0.06082725060827251
NXPI,1072,0.05783582089552239
HMC,1419,0.0507399577167019
JBL,1189,0.045416316232127836
