Ticker,samples,direction_accuracy,strength_accuracy_conditional,avg_hierarchical_score,avg_strength_distance,horizon
CRWD,2078,0.48893166506256014,0.3763233878729548,0.4326275264677575,0.27165354330708663,21d
SMCI,131,0.4961832061068702,0.3435114503816794,0.4198473282442748,0.4307692307692308,21d
OKTA,1290,0.4449612403100775,0.31937984496124033,0.3821705426356589,0.3240418118466899,21d
ZS,1267,0.40173638516179955,0.3014996053670087,0.3516179952644041,0.3182711198428291,21d
TEAM,836,0.38995215311004783,0.26913875598086123,0.32954545454545453,0.3588957055214724,21d
NIO,3962,0.38490661282180716,0.25214538112064616,0.31852599697122663,0.46295081967213114,21d
AMZN,3511,0.412133295357448,0.22272856735972657,0.3174309313585873,0.5749827228749136,21d
SWKS,1532,0.4086161879895561,0.20887728459530025,0.3087467362924282,0.6118210862619808,21d
MU,5964,0.39906103286384975,0.21730382293762576,0.30818242790073774,0.6239495798319328,21d
ON,1218,0.3645320197044335,0.24466338259441708,0.3045977011494253,0.4369369369369369,21d
AAOI,1179,0.33672603901611536,0.26463104325699743,0.3006785411365564,0.3954659949622166,21d
NOW,1744,0.37327981651376146,0.21387614678899083,0.29357798165137616,0.6113671274961597,21d
AMD,7981,0.3621100112767824,0.2172660067660694,0.2896880090214259,0.5110726643598615,21d
NVDA,9602,0.3497188085815455,0.2275567590085399,0.2886377837950427,0.44282310899344846,21d
BA,3585,0.40557880055788004,0.16708507670850767,0.28633193863319384,0.7565337001375516,21d
BB,1126,0.31793960923623443,0.2344582593250444,0.2761989342806394,0.30726256983240224,21d
AMAT,3916,0.37665985699693566,0.1404494382022472,0.2585546475995914,0.8616949152542372,21d
GE,7475,0.357056856187291,0.14020066889632107,0.24862876254180602,0.8666167103784189,21d
DELL,1561,0.3254324151185138,0.15887251761691223,0.242152466367713,0.6948818897637795,21d
MSFT,5807,0.33959014981918373,0.13208197003616326,0.2358360599276735,0.7723123732251521,21d
PANW,4124,0.28831231813773034,0.1813773035887488,0.23484481086323958,0.4482758620689655,21d
TSLA,6429,0.30175766060040443,0.1577228184787681,0.22974023953958625,0.5860824742268042,21d
ADBE,5745,0.3122715404699739,0.1380330722367276,0.22515230635335073,0.7162764771460424,21d
NOK,3270,0.3211009174311927,0.1235474006116208,0.22232415902140673,0.960952380952381,21d
CRM,6830,0.30161054172767204,0.13440702781844802,0.21800878477306002,0.7271844660194174,21d
INTC,7887,0.3073411943704831,0.11778876632433118,0.21256498034740712,0.8250825082508251,21d
HPQ,3863,0.3077918716023816,0.1141599792907067,0.21097592544654414,0.9024390243902439,21d
AAPL,6234,0.30429900545396216,0.09801090792428617,0.20115495668912417,0.8961518186610438,21d
CAT,6670,0.29865067466266865,0.09895052473763119,0.19880059970014993,0.8795180722891566,21d
HPE,1477,0.2843601895734597,0.1035883547731889,0.1939742721733243,0.8214285714285714,21d
QCOM,7650,0.2568627450980392,0.10300653594771242,0.1799346405228758,0.759796437659033,21d
MRVL,2990,0.2334448160535117,0.11204013377926421,0.17274247491638797,0.7177650429799427,21d
GOOG,9489,0.23680050584887766,0.09853514595847823,0.16766782590367793,0.7645749888740543,21d
F,1287,0.24553224553224554,0.08857808857808858,0.16705516705516704,0.8164556962025317,21d
ADI,3194,0.24577332498434565,0.08015028177833437,0.16296180338134,0.9184713375796179,21d
TSM,4567,0.23363258156338954,0.08955550689730676,0.16159404423034815,0.8163074039362699,21d
DE,3446,0.23041207196749855,0.08879860708067325,0.1596053395240859,0.8161209068010076,21d
ERIC,2488,0.22909967845659163,0.07837620578778134,0.1537379421221865,0.9017543859649123,21d
MMM,3709,0.2289026691830682,0.059854408196279324,0.14437853868967376,1.0895170789163722,21d
ASML,2188,0.19881170018281535,0.07861060329067641,0.1387111517367459,0.8367816091954023,21d
NTAP,2965,0.1851602023608769,0.08903878583473862,0.13709949409780775,0.7194899817850637,21d
ROK,1638,0.19719169719169719,0.07692307692307693,0.13705738705738707,0.7894736842105263,21d
EMR,2266,0.2144748455428067,0.058693733451015,0.13658428949691084,1.0534979423868314,21d
ORCL,7059,0.20413656325258536,0.06261510128913444,0.1333758322708599,0.945176960444136,21d
TXN,4007,0.19590716246568504,0.06139256301472423,0.12864986274020465,0.9617834394904459,21d
TM,5395,0.17794253938832252,0.050787766450417056,0.11436515291936979,0.978125,21d
CSCO,1010,0.15148514851485148,0.03762376237623762,0.09455445544554456,1.0196078431372548,21d
GOOGL,1273,0.11233307148468186,0.02199528672427337,0.06716417910447761,1.2027972027972027,21d
KLAC,1121,0.09009812667261374,0.021409455842997322,0.05575379125780553,1.1683168316831682,21d
LRCX,650,0.06769230769230769,0.033846153846153845,0.05076923076923077,0.6136363636363636,21d
AVGO,2096,0.0715648854961832,0.02767175572519084,0.04961832061068702,0.7733333333333333,21d
LOGI,677,0.06794682422451995,0.0310192023633678,0.04948301329394387,0.782608695652174,21d
GD,1223,0.06704824202780049,0.019623875715453803,0.04333605887162715,0.975609756097561,21d
NXPI,1061,0.06220546654099906,0.0235626767200754,0.04288407163053723,0.8787878787878788,21d
JBL,1189,0.05887300252312868,0.023549201009251473,0.04121110176619008,0.7714285714285715,21d
HMC,1417,0.06563161609033169,0.014820042342978124,0.04022582921665491,1.1290322580645162,21d
GM,9,0.0,0.0,0.0,,21d
