Ticker,samples,direction_accuracy,strength_accuracy_conditional,avg_hierarchical_score,avg_strength_distance,horizon
GM,78,0.4358974358974359,0.11538461538461539,0.27564102564102566,0.8235294117647058,1d
NIO,4001,0.37715571107223195,0.171457135716071,0.27430642339415146,0.685222001325381,1d
CRWD,2152,0.4038104089219331,0.13382899628252787,0.2688197026022305,0.8929804372842347,1d
ON,1231,0.3915515840779854,0.1429731925264013,0.26726238830219334,0.8360995850622407,1d
TEAM,845,0.3739644970414201,0.15621301775147928,0.2650887573964497,0.7468354430379747,1d
ZS,1295,0.3722007722007722,0.15444015444015444,0.2633204633204633,0.7282157676348547,1d
BA,3652,0.365553121577218,0.15224534501642936,0.2588992332968237,0.7123595505617978,1d
OKTA,1309,0.359816653934301,0.14744079449961803,0.25362872421695953,0.7261146496815286,1d
MU,6002,0.36587804065311563,0.10996334555148284,0.23792069310229924,0.9230418943533698,1d
SWKS,1538,0.3543563068920676,0.12028608582574772,0.23732119635890767,0.8385321100917431,1d
BB,1135,0.32422907488986785,0.14889867841409693,0.2365638766519824,0.7092391304347826,1d
AMD,8169,0.33308850532500917,0.1293916023993145,0.23124005386216184,0.7699375229694965,1d
AAOI,1186,0.31197301854974707,0.14586846543001686,0.22892074198988197,0.6945945945945946,1d
DELL,1584,0.32891414141414144,0.09659090909090909,0.21275252525252525,0.9788867562380038,1d
AMAT,3940,0.3063451776649746,0.10076142131979696,0.2035532994923858,0.8384424192212097,1d
NVDA,9884,0.29805746661270743,0.10269121813031161,0.2003743423715095,0.8526816021724372,1d
TSLA,6606,0.28337874659400547,0.11005146836209506,0.19671510747805027,0.7553418803418803,1d
NOW,1776,0.2989864864864865,0.08614864864864864,0.19256756756756757,0.9416195856873822,1d
NOK,3285,0.291324200913242,0.09254185692541857,0.19193302891933028,0.9216300940438872,1d
GE,7505,0.29140572951365756,0.09020652898067955,0.19080612924716855,0.8861454046639232,1d
INTC,8024,0.2735543369890329,0.09459122632103689,0.1840727816550349,0.8218678815489749,1d
SMCI,133,0.2556390977443609,0.09774436090225563,0.17669172932330826,0.9117647058823529,1d
MSFT,6069,0.25902125556104794,0.09177788762563849,0.1753995715933432,0.8155216284987278,1d
HPE,1494,0.25903614457831325,0.08500669344042838,0.17202141900937082,0.8397932816537468,1d
