Ticker,samples,direction_accuracy,strength_accuracy_conditional,avg_hierarchical_score,avg_strength_distance
GM,78,0.4358974358974359,0.16666666666666666,0.30128205128205127,0.6470588235294118
CRWD,2152,0.44284386617100374,0.1533457249070632,0.29809479553903345,0.7072402938090241
SWKS,1538,0.40897269180754225,0.1671001300390117,0.288036410923277,0.6645468998410174
BA,3652,0.3847207009857612,0.1514238773274918,0.2680722891566265,0.6846975088967971
ZS,1295,0.41081081081081083,0.12277992277992278,0.2667953667953668,0.7857142857142857
OKTA,1309,0.4102368220015279,0.11459129106187929,0.2624140565317036,0.813780260707635
MU,6002,0.3915361546151283,0.12962345884705098,0.26057980673108966,0.78
DELL,1584,0.33775252525252525,0.1590909090909091,0.24842171717171718,0.5925233644859813
SMCI,133,0.3308270676691729,0.16541353383458646,0.24812030075187969,0.5681818181818182
ON,1231,0.3736799350121852,0.11616571892770106,0.24492282696994314,0.7913043478260869
AAOI,1186,0.35497470489038785,0.12141652613827993,0.2381956155143339,0.7909738717339667
TEAM,845,0.3633136094674556,0.10532544378698225,0.23431952662721894,0.7947882736156352
AMAT,3931,0.3411345713558891,0.11269397099974561,0.22691427117781734,0.8061148396718867
AMD,8155,0.3572041692213366,0.09576946658491722,0.2264868179031269,0.8389975969790594
GE,7505,0.32258494337108595,0.11738840772818121,0.21998667554963358,0.748451053283767
NIO,4001,0.37215696075981003,0.0667333166708323,0.21944513871532118,1.0268636668905307
NOW,1776,0.32150900900900903,0.11092342342342343,0.21621621621621623,0.7688266199649737
AMZN,3835,0.3029986962190352,0.12724902216427642,0.2151238591916558,0.6282271944922547
NOK,3285,0.3223744292237443,0.10319634703196347,0.21278538812785389,0.8451369216241738
NVDA,9884,0.325273168757588,0.09975718332658842,0.21251517604208822,0.7673405909797822
INTC,8024,0.30321535393818544,0.10954636091724826,0.20638085742771686,0.740649404027949
BB,1135,0.3312775330396476,0.08105726872246696,0.20616740088105726,0.8537234042553191
AAPL,6462,0.28102754565150107,0.13060971835345095,0.20581863200247602,0.5903083700440529
MSFT,6069,0.28241884989289834,0.11484593837535013,0.19863239413412423,0.6487747957992999
CAT,6699,0.2779519331243469,0.11076280041797283,0.19435736677115986,0.6933404940923737
CRM,6911,0.27839675879033426,0.10852264505860224,0.19345970192446824,0.7016632016632016
HPQ,3885,0.2893178893178893,0.09626769626769627,0.1927927927927928,0.7891459074733096
PANW,4162,0.2789524267179241,0.09370494954348871,0.18632868813070638,0.7588285960378983
ADBE,5836,0.26559287183002056,0.1004112405757368,0.18300205620287868,0.7116129032258065
TSLA,6606,0.2974568574023615,0.06615198304571601,0.18180442022403875,0.9038167938931297
QCOM,7694,0.25864309851832595,0.10319729659474916,0.18092019755653757,0.6804020100502512
HPE,1494,0.2637215528781794,0.08032128514056225,0.17202141900937082,0.8071065989847716
TSM,4606,0.23382544507164568,0.10095527572731221,0.16739036039947894,0.6369545032497679
ADI,3206,0.23611977542108548,0.0842170929507174,0.16016843418590143,0.760898282694848
F,1362,0.24302496328928047,0.07268722466960352,0.157856093979442,0.8308157099697885
ERIC,2495,0.22725450901803607,0.08617234468937876,0.15671342685370743,0.7160493827160493
DE,3446,0.21648287869994196,0.09315147997678468,0.1548171793383633,0.6380697050938338
GOOG,9637,0.21075023347514787,0.08187195185223617,0.14631109266369202,0.6937469226981783
MMM,3731,0.20637898686679174,0.08415974269632806,0.1452693647815599,0.6662337662337663
MRVL,3007,0.22381110741602928,0.06484868639840373,0.14432989690721648,0.8811292719167905
ORCL,7115,0.1994378074490513,0.07772312016865776,0.13858046380885453,0.7061310782241015
EMR,2278,0.19622475856014046,0.07901668129938542,0.13762071992976296,0.6756152125279642
ASML,2220,0.20765765765765765,0.06756756756756757,0.13761261261261262,0.7939262472885033
NTAP,2978,0.18233713901947615,0.07488247145735392,0.12860980523841503,0.7034990791896869
TXN,4026,0.1815697963238947,0.07476403378042722,0.12816691505216096,0.6963064295485636
ROK,1650,0.18727272727272729,0.06848484848484848,0.12787878787878787,0.7055016181229773
TM,5422,0.15916635927701955,0.06694946514201401,0.11305791220951679,0.6593279258400927
CSCO,1055,0.13933649289099526,0.05971563981042654,0.0995260663507109,0.6326530612244898
GOOGL,1350,0.11703703703703704,0.04,0.07851851851851852,0.8037974683544303
KLAC,1128,0.07890070921985816,0.025709219858156027,0.05230496453900709,0.898876404494382
AVGO,2102,0.06898192197906755,0.028068506184586107,0.048525214081826834,0.7034482758620689
LRCX,657,0.0715372907153729,0.0228310502283105,0.0471841704718417,0.7872340425531915
GD,1233,0.06082725060827251,0.031630170316301706,0.046228710462287104,0.48
LOGI,683,0.06881405563689605,0.02342606149341142,0.046120058565153735,0.851063829787234
NXPI,1072,0.05783582089552239,0.020522388059701493,0.03917910447761194,0.8064516129032258
HMC,1419,0.0507399577167019,0.02255109231853418,0.036645525017618044,0.6666666666666666
JBL,1189,0.045416316232127836,0.015138772077375946,0.030277544154751892,0.8148148148148148
